year,scenario,carbon_price_usd,emissions_gtco2,temp_increase_c
2049,CurrentPolicies,0,49.925999999999995,1.8150000000000002
2049,NetZero2050,195,0.0,1.235
2049,DisorderedTransition,90,18.284999999999993,1.7280000000000002
2050,CurrentPolicies,0,49.82,1.85
2050,NetZero2050,200,0.0,1.25
2050,DisorderedTransition,100,15.237499999999999,1.76
2051,CurrentPolicies,0,49.714,1.8850000000000002
2051,NetZero2050,205,0.0,1.2650000000000001
2051,DisorderedTransition,110,12.189999999999996,1.792
2052,CurrentPolicies,0,49.608,1.9200000000000002
2052,NetZero2050,210,0.0,1.28
2052,DisorderedTransition,120,9.142499999999995,1.824
2053,CurrentPolicies,0,49.501999999999995,1.955
2053,NetZero2050,215,0.0,1.295
2053,DisorderedTransition,130,6.094999999999998,1.856
2054,CurrentPolicies,0,49.395999999999994,1.9900000000000002
2054,NetZero2050,220,0.0,1.31
2054,DisorderedTransition,140,3.047499999999996,1.8880000000000001
2055,CurrentPolicies,0,49.29,2.0250000000000004
2055,NetZero2050,225,0.0,1.3250000000000002
2055,DisorderedTransition,150,0.0,1.9200000000000002
2056,CurrentPolicies,0,49.184,2.0600000000000005
2056,NetZero2050,230,0.0,1.34
2056,DisorderedTransition,160,0.0,1.9520000000000002
2057,CurrentPolicies,0,49.078,2.095
2057,NetZero2050,235,0.0,1.355
2057,DisorderedTransition,170,0.0,1.984
2058,CurrentPolicies,0,48.972,2.13
2058,NetZero2050,240,0.0,1.37
2058,DisorderedTransition,180,0.0,2.016
2059,CurrentPolicies,0,48.866,2.165
2059,NetZero2050,245,0.0,1.385
2059,DisorderedTransition,190,0.0,2.048
2060,CurrentPolicies,0,48.760000000000005,2.2
2060,NetZero2050,250,0.0,1.4
2060,DisorderedTransition,200,0.0,2.08
2061,CurrentPolicies,0,48.654,2.2350000000000003
2061,NetZero2050,255,0.0,1.415
2061,DisorderedTransition,210,0.0,2.112
2062,CurrentPolicies,0,48.548,2.2700000000000005
2062,NetZero2050,260,0.0,1.4300000000000002
2062,DisorderedTransition,220,0.0,2.144
2063,CurrentPolicies,0,48.442,2.305
2063,NetZero2050,265,0.0,1.445
2063,DisorderedTransition,230,0.0,2.176
2064,CurrentPolicies,0,48.336,2.34
2064,NetZero2050,270,0.0,1.46
2064,DisorderedTransition,240,0.0,2.208
2065,CurrentPolicies,0,48.230000000000004,2.375
2065,NetZero2050,275,0.0,1.475
2065,DisorderedTransition,250,0.0,2.24
2066,CurrentPolicies,0,48.124,2.41
2066,NetZero2050,280,0.0,1.49
2066,DisorderedTransition,260,0.0,2.2720000000000002
2067,CurrentPolicies,0,48.018,2.4450000000000003
2067,NetZero2050,285,0.0,1.505
2067,DisorderedTransition,270,0.0,2.3040000000000003
2068,CurrentPolicies,0,47.912,2.4800000000000004
2068,NetZero2050,290,0.0,1.52
2068,DisorderedTransition,280,0.0,2.3360000000000003
2069,CurrentPolicies,0,47.806000000000004,2.515
2069,NetZero2050,295,0.0,1.5350000000000001
2069,DisorderedTransition,290,0.0,2.3680000000000003
2070,CurrentPolicies,0,47.7,2.5500000000000003
2070,NetZero2050,300,0.0,1.55
2070,DisorderedTransition,300,0.0,2.4000000000000004
2071,CurrentPolicies,0,47.594,2.585
2071,NetZero2050,305,0.0,1.565
2071,DisorderedTransition,310,0.0,2.4320000000000004
2072,CurrentPolicies,0,47.488,2.62
2072,NetZero2050,310,0.0,1.58
2072,DisorderedTransition,320,0.0,2.4640000000000004
2073,CurrentPolicies,0,47.382,2.6550000000000002
2073,NetZero2050,315,0.0,1.595
2073,DisorderedTransition,330,0.0,2.496
2074,CurrentPolicies,0,47.276,2.6900000000000004
2074,NetZero2050,320,0.0,1.6099999999999999
2074,DisorderedTransition,340,0.0,2.528
2075,CurrentPolicies,0,47.17,2.7250000000000005
2075,NetZero2050,325,0.0,1.625
2075,DisorderedTransition,350,0.0,2.56
2076,CurrentPolicies,0,47.064,2.7600000000000002
2076,NetZero2050,330,0.0,1.6400000000000001
2076,DisorderedTransition,360,0.0,2.592
2077,CurrentPolicies,0,46.958,2.795
2077,NetZero2050,335,0.0,1.655
2077,DisorderedTransition,370,0.0,2.624
2078,CurrentPolicies,0,46.852000000000004,2.83
2078,NetZero2050,340,0.0,1.67
2078,DisorderedTransition,380,0.0,2.656
2079,CurrentPolicies,0,46.746,2.865
2079,NetZero2050,345,0.0,1.685
2079,DisorderedTransition,390,0.0,2.688
2080,CurrentPolicies,0,46.64,2.9000000000000004
2080,NetZero2050,350,0.0,1.7
2080,DisorderedTransition,400,0.0,2.7199999999999998
2081,CurrentPolicies,0,46.534,2.9350000000000005
2081,NetZero2050,355,0.0,1.7149999999999999
2081,DisorderedTransition,410,0.0,2.752
2082,CurrentPolicies,0,46.428,2.9700000000000006
2082,NetZero2050,360,0.0,1.73
2082,DisorderedTransition,420,0.0,2.784
2083,CurrentPolicies,0,46.322,3.005
2083,NetZero2050,365,0.0,1.745
2083,DisorderedTransition,430,0.0,2.816
2084,CurrentPolicies,0,46.216,3.04
2084,NetZero2050,370,0.0,1.76
2084,DisorderedTransition,440,0.0,2.848
2085,CurrentPolicies,0,46.11,3.075
2085,NetZero2050,375,0.0,1.775
2085,DisorderedTransition,450,0.0,2.88
2086,CurrentPolicies,0,46.004,3.1100000000000003
2086,NetZero2050,380,0.0,1.79
2086,DisorderedTransition,460,0.0,2.912
2087,CurrentPolicies,0,45.897999999999996,3.1450000000000005
2087,NetZero2050,385,0.0,1.805
2087,DisorderedTransition,470,0.0,2.944
2088,CurrentPolicies,0,45.792,3.1800000000000006
2088,NetZero2050,390,0.0,1.82
2088,DisorderedTransition,480,0.0,2.976
2089,CurrentPolicies,0,45.686,3.215
2089,NetZero2050,395,0.0,1.835
2089,DisorderedTransition,490,0.0,3.008
2090,CurrentPolicies,0,45.58,3.25
2090,NetZero2050,400,0.0,1.85
2090,DisorderedTransition,500,0.0,3.04
2091,CurrentPolicies,0,45.474,3.285
2091,NetZero2050,405,0.0,1.865
2091,DisorderedTransition,510,0.0,3.072
2092,CurrentPolicies,0,45.368,3.3200000000000003
2092,NetZero2050,410,0.0,1.8800000000000001
2092,DisorderedTransition,520,0.0,3.104
2093,CurrentPolicies,0,45.262,3.3550000000000004
2093,NetZero2050,415,0.0,1.895
2093,DisorderedTransition,530,0.0,3.136
2094,CurrentPolicies,0,45.156,3.3900000000000006
2094,NetZero2050,420,0.0,1.91
2094,DisorderedTransition,540,0.0,3.168
2095,CurrentPolicies,0,45.05,3.4250000000000007
2095,NetZero2050,425,0.0,1.925
2095,DisorderedTransition,550,0.0,3.2
2096,CurrentPolicies,0,44.943999999999996,3.46
2096,NetZero2050,430,0.0,1.94
2096,DisorderedTransition,560,0.0,3.232
2097,CurrentPolicies,0,44.838,3.495
2097,NetZero2050,435,0.0,1.955
2097,DisorderedTransition,570,0.0,3.2640000000000002
2098,CurrentPolicies,0,44.732,3.5300000000000002
2098,NetZero2050,440,0.0,1.97
2098,DisorderedTransition,580,0.0,3.2960000000000003
2099,CurrentPolicies,0,44.626,3.5650000000000004
2099,NetZero2050,445,0.0,1.985
2099,DisorderedTransition,590,0.0,3.3280000000000003
2100,CurrentPolicies,0,44.519999999999996,3.6000000000000005
2100,NetZero2050,450,0.0,2.0
2100,DisorderedTransition,600,0.0,3.3600000000000003
