year,scenario,emissions_gtco2
2083,SSP2,75.6752045
2084,SSP2,76.43268578
2085,SSP2,77.16257673
2086,SSP2,77.86579084
2087,SSP2,78.5427427
2088,SSP2,79.19444663
2089,SSP2,79.8214174
2090,SSP2,80.42436946
2091,SSP2,81.00401696
2092,SSP2,81.56107364
2093,SSP2,82.09625272
2094,SSP2,82.61036684
2095,SSP2,83.10392816
2096,SSP2,83.57774808
2097,SSP2,84.03243742
2098,SSP2,84.46880632
2099,SSP2,84.88756432
2100,SSP2,85.28932034
2020,SSP3,37.79
2021,SSP3,38.86127
2022,SSP3,39.967267
2023,SSP3,41.0914033
2024,SSP3,42.22025736
2025,SSP3,43.34316036
2026,SSP3,44.45164387
2027,SSP3,45.53922134
2028,SSP3,46.60095703
2029,SSP3,47.63317261
2030,SSP3,48.63339673
2031,SSP3,49.59993721
2032,SSP3,50.53197048
2033,SSP3,51.42921203
2034,SSP3,52.2920937
2035,SSP3,53.12130404
2036,SSP3,53.9178427
2037,SSP3,54.68295151
2038,SSP3,55.41814214
2039,SSP3,56.12498348
2040,SSP3,56.80514232
2041,SSP3,57.46052996
2042,SSP3,58.09283684
2043,SSP3,58.70358614
2044,SSP3,59.29447787
2045,SSP3,59.86701553
2046,SSP3,60.4228637
2047,SSP3,60.96328387
2048,SSP3,61.48997037
2049,SSP3,62.00429978
2050,SSP3,62.5076079
2051,SSP3,63.00138155
2052,SSP3,63.48658643
2053,SSP3,63.96414288
2054,SSP3,64.43453909
2055,SSP3,64.89812014
2056,SSP3,65.35548111
2057,SSP3,65.80698388
2058,SSP3,66.25295388
2059,SSP3,66.69368282
2060,SSP3,67.12962826
2061,SSP3,67.56092409
2062,SSP3,67.98787444
2063,SSP3,68.41046249
2064,SSP3,68.82874673
2065,SSP3,69.24276433
2066,SSP3,69.65253288
2067,SSP3,70.05795262
2068,SSP3,70.45900636
2069,SSP3,70.85556228
2070,SSP3,71.2475739
2071,SSP3,71.63498195
2072,SSP3,72.0179146
2073,SSP3,72.39768503
2074,SSP3,72.77589759
2075,SSP3,73.15414944
2076,SSP3,73.53383136
2077,SSP3,73.9167263
2078,SSP3,74.30431174
2079,SSP3,74.69805905
2080,SSP3,75.09953369
2081,SSP3,75.51039563
2082,SSP3,75.93160098
2083,SSP3,76.36310216
2084,SSP3,76.80424719
2085,SSP3,77.25437921
2086,SSP3,77.71313676
2087,SSP3,78.17975496
2088,SSP3,78.65366528
2089,SSP3,79.13429611
2090,SSP3,79.62107311
2091,SSP3,80.11331953
2092,SSP3,80.61045635
2093,SSP3,81.11200251
2094,SSP3,81.61717531
2095,SSP3,82.12539034
2096,SSP3,82.63616172
2097,SSP3,83.14880231
2098,SSP3,83.66262382
2099,SSP3,84.17713681
2100,SSP3,84.69165095
2020,SSP4,37.79
2021,SSP4,38.1746
2022,SSP4,38.664247
2023,SSP4,39.2445112
2024,SSP4,39.90116771
2025,SSP4,40.62020551
2026,SSP4,41.38820513
2027,SSP4,42.19213076
2028,SSP4,43.01967789
2029,SSP4,43.85913151
2030,SSP4,44.69934937
2031,SSP4,45.529942
2032,SSP4,46.34150248
2033,SSP4,47.12788231
2034,SSP4,47.8841939
2035,SSP4,48.6066363
2036,SSP4,49.29198757
2037,SSP4,49.93780033
2038,SSP4,50.5418951
2039,SSP4,51.10276904
2040,SSP4,51.61910657
2041,SSP4,52.08997023
2042,SSP4,52.51547521
2043,SSP4,52.89861098
2044,SSP4,53.24366617
2045,SSP4,53.55500052
2046,SSP4,53.83725617
2047,SSP4,54.09521757
2048,SSP4,54.3337711
2049,SSP4,54.55787278
2050,SSP4,54.77242672
2051,SSP4,54.98245513
2052,SSP4,55.19182957
2053,SSP4,55.39945878
2054,SSP4,55.60299648
2055,SSP4,55.79990961
2056,SSP4,55.98788203
2057,SSP4,56.16404607
2058,SSP4,56.32596857
2059,SSP4,56.47097574
2060,SSP4,56.59625659
2061,SSP4,56.69906524
2062,SSP4,56.77652896
2063,SSP4,56.8256516
2064,SSP4,56.8433165
2065,SSP4,56.82618993
2066,SSP4,56.77111965
2067,SSP4,56.67493949
2068,SSP4,56.53437176
2069,SSP4,56.34622731
2070,SSP4,56.10730766
2071,SSP4,55.81420697
2072,SSP4,55.46580201
2073,SSP4,55.06843832
2074,SSP4,54.63076158
2075,SSP4,54.16122614
2076,SSP4,53.66829107
2077,SSP4,53.16061727
2078,SSP4,52.64646718
2079,SSP4,52.13460115
2080,SSP4,51.63337852
2081,SSP4,51.15125571
2082,SSP4,50.69518811
2083,SSP4,50.26493614
2084,SSP4,49.85865404
2085,SSP4,49.47438833
2086,SSP4,49.11037865
2087,SSP4,48.76465912
2088,SSP4,48.43545879
2089,SSP4,48.12070277
2090,SSP4,47.81861234
2091,SSP4,47.52720589
2092,SSP4,47.24469903
2093,SSP4,46.96900534
2094,SSP4,46.69833629
2095,SSP4,46.43080182
2096,SSP4,46.16451045
2097,SSP4,45.89736957
2098,SSP4,45.62758546
2099,SSP4,45.35336355
2100,SSP4,45.07250861
2020,SSP5,37.79
2021,SSP5,38.47204
2022,SSP5,39.294306
2023,SSP5,40.2424145
2024,SSP5,41.30228509
2025,SSP5,42.46029775
2026,SSP5,43.703402
2027,SSP5,45.01918769
2028,SSP5,46.39581132
2029,SSP5,47.82227591
2030,SSP5,49.28823542
2031,SSP5,50.78402565
2032,SSP5,52.3010687
2033,SSP5,53.83386365
2034,SSP5,55.37864159
2035,SSP5,56.93223249
2036,SSP5,58.49245334
2037,SSP5,60.05760658
2038,SSP5,61.62661584
2039,SSP5,63.19886238
2040,SSP5,64.77411106
2041,SSP5,66.35235795
2042,SSP5,67.93422153
2043,SSP5,69.5210997
2044,SSP5,71.11496994
2045,SSP5,72.71799295
2046,SSP5,74.33219437
2047,SSP5,75.95998887
2048,SSP5,77.60388052
2049,SSP5,79.26625054
2050,SSP5,80.94971778
2051,SSP5,82.65684075
2052,SSP5,84.38904154
2053,SSP5,86.14337784
2054,SSP5,87.91558115
2055,SSP5,89.70131738
2056,SSP5,91.49639511
2057,SSP5,93.29638614
2058,SSP5,95.09682753
2059,SSP5,96.89342479
2060,SSP5,98.68146753
2061,SSP5,100.4567182
2062,SSP5,102.2152214
2063,SSP5,103.9555825
2064,SSP5,105.6769036
2065,SSP5,107.3785856
2066,SSP5,109.0597319
2067,SSP5,110.7195427
2068,SSP5,112.3573135
2069,SSP5,113.9722362
2070,SSP5,115.5633969
2071,SSP5,117.1300742
2072,SSP5,118.6695483
2073,SSP5,120.171517
2074,SSP5,121.6234644
2075,SSP5,123.0131527
2076,SSP5,124.3282271
2077,SSP5,125.5564181
2078,SSP5,126.6851448
2079,SSP5,127.7020155
2080,SSP5,128.594829
2081,SSP5,129.3509777
2082,SSP5,129.9618411
2083,SSP5,130.4333761
2084,SSP5,130.7751394
2085,SSP5,130.9967917
2086,SSP5,131.1079957
2087,SSP5,131.1185147
2088,SSP5,131.0378119
2089,SSP5,130.8755488
2090,SSP5,130.6415847
2091,SSP5,130.3452767
2092,SSP5,129.9964788
2093,SSP5,129.6047421
2094,SSP5,129.1797144
2095,SSP5,128.7309404
2096,SSP5,128.2681617
2097,SSP5,127.8010165
2098,SSP5,127.3389402
2099,SSP5,126.8917653
2100,SSP5,126.4690217
